varTime : Variable processing time for units that consider dynamics [h]
    Size=6, Index=varTime_index
    Key               : Lower : Value              : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :     0 : 2.1366220886694554 :   4.0 : False : False : NonNegativeReals
    ('R1', 'R_small') :     0 :  2.229415319435358 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_large') :     0 :  2.855647459862502 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_small') :     0 :  2.918142248015307 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_large') :     0 :   1.59171125845289 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_small') :     0 : 1.6758576983912659 :   4.0 : False : False : NonNegativeReals

Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R1', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R2', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R2', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R3', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R3', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=273, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value                : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :                  1.0 :   1.0 : False : False : NonNegativeReals
           (0, 'C') :  0.05 :                  1.0 :   1.0 : False : False : NonNegativeReals
           (0, 'D') :   0.0 :                  0.0 :   1.9 : False : False : NonNegativeReals
    (0.005168, 'B') :  0.05 :   0.9936379039313223 :   1.0 : False : False : NonNegativeReals
    (0.005168, 'C') :  0.05 :   0.9936379039313221 :   1.0 : False : False : NonNegativeReals
    (0.005168, 'D') :   0.0 : 0.012724192137339378 :   1.9 : False : False : NonNegativeReals
    (0.021498, 'B') :  0.05 :   0.9708363297439124 :   1.0 : False : False : NonNegativeReals
    (0.021498, 'C') :  0.05 :   0.9708363297439128 :   1.0 : False : False : NonNegativeReals
    (0.021498, 'D') :   0.0 : 0.058327340512246355 :   1.9 : False : False : NonNegativeReals
    (0.033333, 'B') :  0.05 :   0.9500566128678537 :   1.0 : False : False : NonNegativeReals
    (0.033333, 'C') :  0.05 :   0.9500566128678544 :   1.0 : False : False : NonNegativeReals
    (0.033333, 'D') :   0.0 :  0.09988677426441554 :   1.9 : False : False : NonNegativeReals
    (0.038501, 'B') :  0.05 :   0.9395066224800669 :   1.0 : False : False : NonNegativeReals
    (0.038501, 'C') :  0.05 :   0.9395066224800674 :   1.0 : False : False : NonNegativeReals
    (0.038501, 'D') :   0.0 :  0.12098675503998935 :   1.9 : False : False : NonNegativeReals
    (0.054832, 'B') :  0.05 :   0.8998392176442105 :   1.0 : False : False : NonNegativeReals
    (0.054832, 'C') :  0.05 :   0.8998392176442109 :   1.0 : False : False : NonNegativeReals
    (0.054832, 'D') :   0.0 :  0.20032156471170062 :   1.9 : False : False : NonNegativeReals
    (0.066667, 'B') :  0.05 :   0.8654513578401739 :   1.0 : False : False : NonNegativeReals
    (0.066667, 'C') :  0.05 :   0.8654513578401744 :   1.0 : False : False : NonNegativeReals
    (0.066667, 'D') :   0.0 :  0.26909728431977065 :   1.9 : False : False : NonNegativeReals
    (0.071835, 'B') :  0.05 :   0.8490801439204294 :   1.0 : False : False : NonNegativeReals
    (0.071835, 'C') :  0.05 :   0.8490801439204299 :   1.0 : False : False : NonNegativeReals
    (0.071835, 'D') :   0.0 :  0.30183971215925975 :   1.9 : False : False : NonNegativeReals
    (0.088165, 'B') :  0.05 :   0.7929585554144987 :   1.0 : False : False : NonNegativeReals
    (0.088165, 'C') :  0.05 :   0.7929585554144992 :   1.0 : False : False : NonNegativeReals
    (0.088165, 'D') :   0.0 :  0.41408288917111946 :   1.9 : False : False : NonNegativeReals
         (0.1, 'B') :  0.05 :   0.7493479610937557 :   1.0 : False : False : NonNegativeReals
         (0.1, 'C') :  0.05 :   0.7493479610937561 :   1.0 : False : False : NonNegativeReals
         (0.1, 'D') :   0.0 :   0.5013040778126027 :   1.9 : False : False : NonNegativeReals
    (0.105168, 'B') :  0.05 :   0.7298463467000561 :   1.0 : False : False : NonNegativeReals
    (0.105168, 'C') :  0.05 :   0.7298463467000565 :   1.0 : False : False : NonNegativeReals
    (0.105168, 'D') :   0.0 :   0.5403073066000019 :   1.9 : False : False : NonNegativeReals
    (0.121498, 'B') :  0.05 :    0.667790411282529 :   1.0 : False : False : NonNegativeReals
    (0.121498, 'C') :  0.05 :   0.6677904112825293 :   1.0 : False : False : NonNegativeReals
    (0.121498, 'D') :   0.0 :   0.6644191774350546 :   1.9 : False : False : NonNegativeReals
    (0.133333, 'B') :  0.05 :   0.6234042998439173 :   1.0 : False : False : NonNegativeReals
    (0.133333, 'C') :  0.05 :   0.6234042998439174 :   1.0 : False : False : NonNegativeReals
    (0.133333, 'D') :   0.0 :   0.7531914003122755 :   1.9 : False : False : NonNegativeReals
    (0.138501, 'B') :  0.05 :   0.6044177156987396 :   1.0 : False : False : NonNegativeReals
    (0.138501, 'C') :  0.05 :   0.6044177156987398 :   1.0 : False : False : NonNegativeReals
    (0.138501, 'D') :   0.0 :   0.7911645686026312 :   1.9 : False : False : NonNegativeReals
    (0.154832, 'B') :  0.05 :   0.5468271464194316 :   1.0 : False : False : NonNegativeReals
    (0.154832, 'C') :  0.05 :   0.5468271464194318 :   1.0 : False : False : NonNegativeReals
    (0.154832, 'D') :   0.0 :   0.9063457071612453 :   1.9 : False : False : NonNegativeReals
    (0.166667, 'B') :  0.05 :   0.5077630377175315 :   1.0 : False : False : NonNegativeReals
    (0.166667, 'C') :  0.05 :   0.5077630377175316 :   1.0 : False : False : NonNegativeReals
    (0.166667, 'D') :   0.0 :   0.9844739245650422 :   1.9 : False : False : NonNegativeReals
    (0.171835, 'B') :  0.05 :   0.4914980258995283 :   1.0 : False : False : NonNegativeReals
    (0.171835, 'C') :  0.05 :   0.4914980258995284 :   1.0 : False : False : NonNegativeReals
    (0.171835, 'D') :   0.0 :    1.017003948201049 :   1.9 : False : False : NonNegativeReals
    (0.188165, 'B') :  0.05 :  0.44346746369764234 :   1.0 : False : False : NonNegativeReals
    (0.188165, 'C') :  0.05 :   0.4434674636976424 :   1.0 : False : False : NonNegativeReals
    (0.188165, 'D') :   0.0 :   1.1130650726048195 :   1.9 : False : False : NonNegativeReals
         (0.2, 'B') :  0.05 :   0.4118291418830075 :   1.0 : False : False : NonNegativeReals
         (0.2, 'C') :  0.05 :   0.4118291418830076 :   1.0 : False : False : NonNegativeReals
         (0.2, 'D') :   0.0 :    1.176341716234086 :   1.9 : False : False : NonNegativeReals
    (0.205168, 'B') :  0.05 :  0.39883775106434893 :   1.0 : False : False : NonNegativeReals
    (0.205168, 'C') :  0.05 :  0.39883775106434904 :   1.0 : False : False : NonNegativeReals
    (0.205168, 'D') :   0.0 :   1.2023244978714034 :   1.9 : False : False : NonNegativeReals
    (0.221498, 'B') :  0.05 :   0.3609597879862183 :   1.0 : False : False : NonNegativeReals
    (0.221498, 'C') :  0.05 :   0.3609597879862184 :   1.0 : False : False : NonNegativeReals
    (0.221498, 'D') :   0.0 :   1.2780804240276635 :   1.9 : False : False : NonNegativeReals
    (0.233333, 'B') :  0.05 :   0.3363394127484387 :   1.0 : False : False : NonNegativeReals
    (0.233333, 'C') :  0.05 :  0.33633941274843876 :   1.0 : False : False : NonNegativeReals
    (0.233333, 'D') :   0.0 :   1.3273211745032196 :   1.9 : False : False : NonNegativeReals
    (0.238501, 'B') :  0.05 :  0.32628623107445875 :   1.0 : False : False : NonNegativeReals
    (0.238501, 'C') :  0.05 :   0.3262862310744588 :   1.0 : False : False : NonNegativeReals
    (0.238501, 'D') :   0.0 :     1.34742753785118 :   1.9 : False : False : NonNegativeReals
    (0.254832, 'B') :  0.05 :   0.2971010133955005 :   1.0 : False : False : NonNegativeReals
    (0.254832, 'C') :  0.05 :   0.2971010133955006 :   1.0 : False : False : NonNegativeReals
    (0.254832, 'D') :   0.0 :   1.4057979732090948 :   1.9 : False : False : NonNegativeReals
    (0.266667, 'B') :  0.05 :  0.27820090685303045 :   1.0 : False : False : NonNegativeReals
    (0.266667, 'C') :  0.05 :   0.2782009068530305 :   1.0 : False : False : NonNegativeReals
    (0.266667, 'D') :   0.0 :   1.4435981862940321 :   1.9 : False : False : NonNegativeReals
    (0.271835, 'B') :  0.05 :  0.27049040986935796 :   1.0 : False : False : NonNegativeReals
    (0.271835, 'C') :  0.05 :   0.2704904098693581 :   1.0 : False : False : NonNegativeReals
    (0.271835, 'D') :   0.0 :   1.4590191802613774 :   1.9 : False : False : NonNegativeReals
    (0.288165, 'B') :  0.05 :  0.24809736998588328 :   1.0 : False : False : NonNegativeReals
    (0.288165, 'C') :  0.05 :  0.24809736998588341 :   1.0 : False : False : NonNegativeReals
    (0.288165, 'D') :   0.0 :   1.5038052600283254 :   1.9 : False : False : NonNegativeReals
         (0.3, 'B') :  0.05 :  0.23357190872984035 :   1.0 : False : False : NonNegativeReals
         (0.3, 'C') :  0.05 :   0.2335719087298405 :   1.0 : False : False : NonNegativeReals
         (0.3, 'D') :   0.0 :   1.5328561825404086 :   1.9 : False : False : NonNegativeReals
    (0.305168, 'B') :  0.05 :  0.22763563229484662 :   1.0 : False : False : NonNegativeReals
    (0.305168, 'C') :  0.05 :  0.22763563229484676 :   1.0 : False : False : NonNegativeReals
    (0.305168, 'D') :   0.0 :   1.5447287354103962 :   1.9 : False : False : NonNegativeReals
    (0.321498, 'B') :  0.05 :   0.2103462954129784 :   1.0 : False : False : NonNegativeReals
    (0.321498, 'C') :  0.05 :  0.21034629541297847 :   1.0 : False : False : NonNegativeReals
    (0.321498, 'D') :   0.0 :   1.5793074091741315 :   1.9 : False : False : NonNegativeReals
