varTime : Variable processing time for units that consider dynamics [h]
    Size=6, Index=varTime_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :   2.5 :   2.5 :   4.0 : False : False : NonNegativeReals
    ('R1', 'R_small') :   2.5 :   2.5 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_large') :     3 :   3.0 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_small') :     3 :   3.0 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_large') :     2 :   2.0 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_small') :     2 :   2.0 :   4.0 : False : False : NonNegativeReals

Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R1', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R2', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R2', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R3', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R3', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=273, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value                : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :                  1.0 :   1.0 : False : False : NonNegativeReals
           (0, 'C') :  0.05 :                  1.0 :   1.0 : False : False : NonNegativeReals
           (0, 'D') :   0.0 :                  0.0 :   1.9 : False : False : NonNegativeReals
    (0.005168, 'B') :  0.05 :   0.9925727729048975 :   1.0 : False : False : NonNegativeReals
    (0.005168, 'C') :  0.05 :   0.9925727729048553 :   1.0 : False : False : NonNegativeReals
    (0.005168, 'D') :   0.0 : 0.014854454190272957 :   1.9 : False : False : NonNegativeReals
    (0.021498, 'B') :  0.05 :   0.9664486624442155 :   1.0 : False : False : NonNegativeReals
    (0.021498, 'C') :  0.05 :   0.9664486624441846 :   1.0 : False : False : NonNegativeReals
    (0.021498, 'D') :   0.0 :  0.06710267511170352 :   1.9 : False : False : NonNegativeReals
    (0.033333, 'B') :  0.05 :   0.9433384939153895 :   1.0 : False : False : NonNegativeReals
    (0.033333, 'C') :  0.05 :   0.9433384939153897 :   1.0 : False : False : NonNegativeReals
    (0.033333, 'D') :   0.0 :   0.1133230121693463 :   1.9 : False : False : NonNegativeReals
    (0.038501, 'B') :  0.05 :   0.9318021475785243 :   1.0 : False : False : NonNegativeReals
    (0.038501, 'C') :  0.05 :   0.9318021475785245 :   1.0 : False : False : NonNegativeReals
    (0.038501, 'D') :   0.0 :  0.13639570484307675 :   1.9 : False : False : NonNegativeReals
    (0.054832, 'B') :  0.05 :    0.889269288465269 :   1.0 : False : False : NonNegativeReals
    (0.054832, 'C') :  0.05 :   0.8892692884652693 :   1.0 : False : False : NonNegativeReals
    (0.054832, 'D') :   0.0 :   0.2214614230695855 :   1.9 : False : False : NonNegativeReals
    (0.066667, 'B') :  0.05 :   0.8531216716750295 :   1.0 : False : False : NonNegativeReals
    (0.066667, 'C') :  0.05 :     0.85312167167503 :   1.0 : False : False : NonNegativeReals
    (0.066667, 'D') :   0.0 :  0.29375665665006134 :   1.9 : False : False : NonNegativeReals
    (0.071835, 'B') :  0.05 :   0.8360597117183879 :   1.0 : False : False : NonNegativeReals
    (0.071835, 'C') :  0.05 :   0.8360597117183883 :   1.0 : False : False : NonNegativeReals
    (0.071835, 'D') :   0.0 :   0.3278805765633448 :   1.9 : False : False : NonNegativeReals
    (0.088165, 'B') :  0.05 :    0.778298178454184 :   1.0 : False : False : NonNegativeReals
    (0.088165, 'C') :  0.05 :   0.7782981784541845 :   1.0 : False : False : NonNegativeReals
    (0.088165, 'D') :   0.0 :   0.4434036430917511 :   1.9 : False : False : NonNegativeReals
         (0.1, 'B') :  0.05 :   0.7338879994556076 :   1.0 : False : False : NonNegativeReals
         (0.1, 'C') :  0.05 :   0.7338879994556079 :   1.0 : False : False : NonNegativeReals
         (0.1, 'D') :   0.0 :   0.5322240010889011 :   1.9 : False : False : NonNegativeReals
    (0.105168, 'B') :  0.05 :   0.7141004550695036 :   1.0 : False : False : NonNegativeReals
    (0.105168, 'C') :  0.05 :   0.7141004550695039 :   1.0 : False : False : NonNegativeReals
    (0.105168, 'D') :   0.0 :   0.5717990898611095 :   1.9 : False : False : NonNegativeReals
    (0.121498, 'B') :  0.05 :   0.6509573150353928 :   1.0 : False : False : NonNegativeReals
    (0.121498, 'C') :  0.05 :    0.650957315035393 :   1.0 : False : False : NonNegativeReals
    (0.121498, 'D') :   0.0 :   0.6980853699293297 :   1.9 : False : False : NonNegativeReals
    (0.133333, 'B') :  0.05 :   0.6056159502617826 :   1.0 : False : False : NonNegativeReals
    (0.133333, 'C') :  0.05 :    0.605615950261783 :   1.0 : False : False : NonNegativeReals
    (0.133333, 'D') :   0.0 :   0.7887680994765468 :   1.9 : False : False : NonNegativeReals
    (0.138501, 'B') :  0.05 :   0.5861751863285183 :   1.0 : False : False : NonNegativeReals
    (0.138501, 'C') :  0.05 :   0.5861751863285188 :   1.0 : False : False : NonNegativeReals
    (0.138501, 'D') :   0.0 :   0.8276496273430758 :   1.9 : False : False : NonNegativeReals
    (0.154832, 'B') :  0.05 :    0.527163443901754 :   1.0 : False : False : NonNegativeReals
    (0.154832, 'C') :  0.05 :   0.5271634439017546 :   1.0 : False : False : NonNegativeReals
    (0.154832, 'D') :   0.0 :   0.9456731121966028 :   1.9 : False : False : NonNegativeReals
    (0.166667, 'B') :  0.05 :  0.48716890273817326 :   1.0 : False : False : NonNegativeReals
    (0.166667, 'C') :  0.05 :   0.4871689027381738 :   1.0 : False : False : NonNegativeReals
    (0.166667, 'D') :   0.0 :   1.0256621945237614 :   1.9 : False : False : NonNegativeReals
    (0.171835, 'B') :  0.05 :  0.47056091281580037 :   1.0 : False : False : NonNegativeReals
    (0.171835, 'C') :  0.05 :  0.47056091281580087 :   1.0 : False : False : NonNegativeReals
    (0.171835, 'D') :   0.0 :   1.0588781743685074 :   1.9 : False : False : NonNegativeReals
    (0.188165, 'B') :  0.05 :   0.4216066474448577 :   1.0 : False : False : NonNegativeReals
    (0.188165, 'C') :  0.05 :  0.42160664744485815 :   1.0 : False : False : NonNegativeReals
    (0.188165, 'D') :   0.0 :   1.1567867051103915 :   1.9 : False : False : NonNegativeReals
         (0.2, 'B') :  0.05 :  0.38952796742741946 :   1.0 : False : False : NonNegativeReals
         (0.2, 'C') :  0.05 :  0.38952796742741985 :   1.0 : False : False : NonNegativeReals
         (0.2, 'D') :   0.0 :   1.2209440651452652 :   1.9 : False : False : NonNegativeReals
    (0.205168, 'B') :  0.05 :  0.37642650175279035 :   1.0 : False : False : NonNegativeReals
    (0.205168, 'C') :  0.05 :   0.3764265017527907 :   1.0 : False : False : NonNegativeReals
    (0.205168, 'D') :   0.0 :   1.2471469964945237 :   1.9 : False : False : NonNegativeReals
    (0.221498, 'B') :  0.05 :   0.3387025762992439 :   1.0 : False : False : NonNegativeReals
    (0.221498, 'C') :  0.05 :   0.3387025762992442 :   1.0 : False : False : NonNegativeReals
    (0.221498, 'D') :   0.0 :   1.3225948474016151 :   1.9 : False : False : NonNegativeReals
    (0.233333, 'B') :  0.05 :  0.31459276804272657 :   1.0 : False : False : NonNegativeReals
    (0.233333, 'C') :  0.05 :   0.3145927680427269 :   1.0 : False : False : NonNegativeReals
    (0.233333, 'D') :   0.0 :   1.3708144639146467 :   1.9 : False : False : NonNegativeReals
    (0.238501, 'B') :  0.05 :   0.3048462178804406 :   1.0 : False : False : NonNegativeReals
    (0.238501, 'C') :  0.05 :   0.3048462178804409 :   1.0 : False : False : NonNegativeReals
    (0.238501, 'D') :   0.0 :    1.390307564239219 :   1.9 : False : False : NonNegativeReals
    (0.254832, 'B') :  0.05 :   0.2768258200517183 :   1.0 : False : False : NonNegativeReals
    (0.254832, 'C') :  0.05 :   0.2768258200517185 :   1.0 : False : False : NonNegativeReals
    (0.254832, 'D') :   0.0 :    1.446348359896662 :   1.9 : False : False : NonNegativeReals
    (0.266667, 'B') :  0.05 :  0.25887938501471325 :   1.0 : False : False : NonNegativeReals
    (0.266667, 'C') :  0.05 :   0.2588793850147134 :   1.0 : False : False : NonNegativeReals
    (0.266667, 'D') :   0.0 :   1.4822412299706693 :   1.9 : False : False : NonNegativeReals
    (0.271835, 'B') :  0.05 :  0.25159579687666805 :   1.0 : False : False : NonNegativeReals
    (0.271835, 'C') :  0.05 :   0.2515957968766682 :   1.0 : False : False : NonNegativeReals
    (0.271835, 'D') :   0.0 :     1.49680840624676 :   1.9 : False : False : NonNegativeReals
    (0.288165, 'B') :  0.05 :  0.23054144870017118 :   1.0 : False : False : NonNegativeReals
    (0.288165, 'C') :  0.05 :  0.23054144870017138 :   1.0 : False : False : NonNegativeReals
    (0.288165, 'D') :   0.0 :    1.538917102599752 :   1.9 : False : False : NonNegativeReals
         (0.3, 'B') :  0.05 :  0.21695144143003917 :   1.0 : False : False : NonNegativeReals
         (0.3, 'C') :  0.05 :   0.2169514414300393 :   1.0 : False : False : NonNegativeReals
         (0.3, 'D') :   0.0 :    1.566097117140013 :   1.9 : False : False : NonNegativeReals
    (0.305168, 'B') :  0.05 :   0.2114087025057653 :   1.0 : False : False : NonNegativeReals
    (0.305168, 'C') :  0.05 :  0.21140870250576546 :   1.0 : False : False : NonNegativeReals
    (0.305168, 'D') :   0.0 :    1.577182594988561 :   1.9 : False : False : NonNegativeReals
    (0.321498, 'B') :  0.05 :  0.19528865592917607 :   1.0 : False : False : NonNegativeReals
    (0.321498, 'C') :  0.05 :  0.19528865592917627 :   1.0 : False : False : NonNegativeReals
    (0.321498, 'D') :   0.0 :    1.609422688141738 :   1.9 : False : False : NonNegativeReals
    (0.333333, 'B') :  0.05 :   0.1847988870812446 :   1.0 : False : False : NonNegativeReals
    (0.333333, 'C') :  0.05 :  0.18479888708124478 :   1.0 : False : False : NonNegativeReals
    (0.333333, 'D') :   0.0 :   1.6304022258375979 :   1.9 : False : False : NonNegativeReals
    (0.338501, 'B') :  0.05 :  0.18049993529909647 :   1.0 : False : False : NonNegativeReals
    (0.338501, 'C') :  0.05 :  0.18049993529909664 :   1.0 : False : False : NonNegativeReals
    (0.338501, 'D') :   0.0 :   1.6390001294018943 :   1.9 : False : False : NonNegativeReals
    (0.354832, 'B') :  0.05 :  0.16792739539339127 :   1.0 : False : False : NonNegativeReals
    (0.354832, 'C') :  0.05 :   0.1679273953933914 :   1.0 : False : False : NonNegativeReals
