X : 1 if unit j processes task i starting at time t
    Size=2420, Index=X_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
      ('T1', 'U1', 0) :     0 :   1.0 :     1 : False : False : Binary
      ('T1', 'U1', 1) :     0 :   0.0 :     1 : False : False : Binary
      ('T1', 'U1', 2) :     0 :   1.0 :     1 : False : False : Binary
      ('T1', 'U1', 3) :     0 :   0.0 :     1 : False : False : Binary
      ('T1', 'U1', 4) :     0 :   0.0 :     1 : False : False : Binary
      ('T1', 'U1', 5) :     0 :   0.0 :     1 : False : False : Binary
      ('T1', 'U1', 6) :     0 :   1.0 :     1 : False : False : Binary
      ('T1', 'U1', 7) :     0 :   0.0 :     1 : False : False : Binary
      ('T1', 'U1', 8) :     0 :   0.0 :     1 : False : False : Binary
      ('T1', 'U1', 9) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 10) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 11) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 12) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 13) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 14) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 15) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 16) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 17) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 18) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 19) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 20) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 21) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 22) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 23) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 24) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 25) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 26) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 27) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 28) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 29) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 30) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 31) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 32) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 33) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 34) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 35) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 36) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 37) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 38) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 39) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 40) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 41) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 42) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 43) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 44) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 45) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 46) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 47) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 48) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 49) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 50) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 51) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 52) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 53) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 54) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 55) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 56) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 57) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 58) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 59) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 60) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 61) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 62) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 63) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 64) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 65) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 66) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 67) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 68) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 69) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 70) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 71) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 72) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 73) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 74) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 75) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 76) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 77) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 78) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 79) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 80) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 81) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 82) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 83) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 84) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 85) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 86) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 87) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 88) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 89) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 90) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 91) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 92) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 93) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 94) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 95) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 96) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 97) :     0 :   1.0 :     1 : False : False : Binary
     ('T1', 'U1', 98) :     0 :   0.0 :     1 : False : False : Binary
     ('T1', 'U1', 99) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 100) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 101) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 102) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 103) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 104) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 105) :     0 :   1.0 :     1 : False : False : Binary
    ('T1', 'U1', 106) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 107) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 108) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 109) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 110) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 111) :     0 :   0.0 :     1 : False : False : Binary
    ('T1', 'U1', 112) :     0 :   0.0 :     1 : False : False : Binary
