rho_minus : Fraction of material in state k consumed by task i 
    Size=360, Index=rho_minus_index
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
    ('T1', 'S1', 0) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 1) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 2) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 3) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 4) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 5) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 6) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 7) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S2', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S2', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S2', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S2', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S2', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S2', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S2', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S2', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S3', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S3', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S3', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S3', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S3', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S3', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S3', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S3', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
